PalaemonetesPugio,FundulusHeteroclitus,CallinectesSapidus,LitopenaeusSetiferus,BairdiellaChrysoura,FundulusLuciae,PalaemonetesVulgaris,EvorthodusLyricus,GobiosomaBosc,CyprinodonVariegatus,LeiostomusXanthurus
0,9,0,6,1,0,0,0,0,0,0
0,22,4,1,0,0,0,0,0,0,0
0,34,1,2,0,1,0,0,0,0,0
0,5,0,3,0,0,0,0,0,0,0
1,6,0,2,0,0,0,0,0,0,0
5,2,1,3,0,0,0,0,0,0,0
0,6,1,0,0,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,0,0
0,4,3,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
8,12,3,2,0,0,0,0,0,0,0
2,16,1,2,1,0,0,0,0,0,0
0,11,1,5,0,0,1,0,0,0,0
5,2,2,3,0,0,0,0,0,0,0
3,10,1,5,0,0,0,0,0,0,0
1,4,1,5,0,0,0,0,0,0,0
0,1,2,0,0,0,0,0,0,0,0
0,5,1,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0,0
0,2,0,1,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0
5,2,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
9,4,2,3,0,0,0,0,0,0,0
9,3,4,5,0,0,0,0,0,0,0
24,3,4,3,0,0,0,0,0,0,0
12,2,2,4,0,0,0,0,0,0,0
0,5,1,1,0,0,0,0,0,0,0
0,2,3,2,0,0,0,0,0,0,0
2,3,2,1,0,0,0,0,0,0,0
3,6,5,0,0,0,0,0,0,0,0
1,11,0,1,0,0,0,0,0,0,0
10,5,3,0,0,0,0,0,0,0,0
11,9,2,2,0,1,0,0,0,0,0
3,6,1,1,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0
23,3,4,1,0,0,0,0,2,0,0
21,6,1,1,0,0,0,1,0,0,0
24,3,4,1,0,0,0,0,0,0,0
4,4,1,0,0,1,0,0,0,0,0
19,1,3,0,0,0,0,0,0,0,0
29,1,6,0,0,0,0,0,0,0,0
39,2,2,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0
6,1,2,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0
15,0,4,0,0,0,0,0,0,0,0
0,3,0,0,0,6,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0
0,4,0,0,0,1,0,0,0,1,0
0,1,1,0,0,0,0,0,0,0,0
0,5,0,0,0,1,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0
3,0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
4,0,2,0,0,0,0,0,0,0,1
3,1,0,0,0,2,0,0,0,0,0
2,2,1,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,2
1,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0
12,1,3,0,0,0,0,0,0,0,3
4,1,0,0,0,2,0,0,0,0,0
22,0,1,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0
3,0,0,0,0,2,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0
26,0,1,0,0,1,0,0,0,0,1
1,4,2,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0
0,2,1,0,0,0,0,0,0,0,0
8,3,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0
