Site,Date,pointID,point,Mussel.presence,surface_mussel_count,Notes,easting,northing,latitude,longitude,elevation (m),elevation above MLLW (m),elevation above MLW (m),MHW,elevation (m) above MHHW,pdop,hdop,vdop,rms,startdate,starttime,satellites,epochs,layer,ellipsoid_ht_loc,ellipsoid_ht_glob,hor_qual,ht_qual,proj_scal_factor,ht_scale_fact,combined_scale_fact,antenna_ht (m),method,manufacture,type,x_ecef,y_ecef,z_ecef,mer_conv_ang,end date,end_time,
Folly Beach County Park,5/20/2016,folgrid052016-1,1,y,4,,596537.357,3612091.294,32.64221,-79.97074,0.49,,,-0.1586,-0.2729,1.632,0.774,1.482,0.003,,5/20/2016 12:52,13,20,Points,-32.729,-32.729,Survey,Survey,0.999714923,1.000005127,0.999720048,2,Bottom of antenna mount,Trimble,R8 GNSS/SPS88x Internal,936228.002,-5293803.845,3420595.905,0.555,,5/20/2016 12:52,
Folly Beach County Park,5/20/2016,folgrid052016-10,10,y,7,Fiddlers,596563.046,3612091.004,32.64221,-79.97047,0.513,,,-0.1344,-0.2487,1.324,0.711,1.117,0.003,,5/20/2016 13:44,14,20,Points,-32.707,-32.707,Survey,Survey,0.999714984,1.000005123,0.999720106,2,Bottom of antenna mount,Trimble,R8 GNSS/SPS88x Internal,936253.356,-5293799.675,3420595.462,0.555,,5/20/2016 13:44,
Folly Beach County Park,5/20/2016,folgrid052016-11,11,y,4,Fiddlers,596587.897,3612090.06,32.6422,-79.9702,0.51,,,-0.1362,-0.2505,1.28,0.675,1.087,0.003,,5/20/2016 13:46,15,20,Points,-32.71,-32.71,Survey,Survey,0.999715043,1.000005124,0.999720165,2,Bottom of antenna mount,Trimble,R8 GNSS/SPS88x Internal,936277.934,-5293795.975,3420594.463,0.556,,5/20/2016 13:47,
Folly Beach County Park,5/20/2016,folgrid052016-12,12,y,2,,596588.578,3612115.195,32.64242,-79.97019,0.51,,,-0.1386,-0.2531,1.478,0.74,1.279,0.003,,5/20/2016 13:49,14,21,Points,-32.71,-32.711,Survey,Survey,0.999715045,1.000005124,0.999720167,2,Bottom of antenna mount,Trimble,R8 GNSS/SPS88x Internal,936276.484,-5293782.463,3420615.627,0.556,,5/20/2016 13:49,
Folly Beach County Park,5/20/2016,folgrid052016-13,13,y,6,Oysters ,596588.035,3612140.394,32.64265,-79.9702,0.507,,,-0.1442,-0.2587,1.413,0.725,1.217,0.003,,5/20/2016 14:02,15,20,Points,-32.713,-32.713,Survey,Survey,0.999715044,1.000005124,0.999720166,2,Bottom of antenna mount,Trimble,R8 GNSS/SPS88x Internal,936273.821,-5293769.123,3420636.854,0.556,,5/20/2016 14:03,
Folly Beach County Park,5/20/2016,folgrid052016-14,14,y,16,,596588.496,3612165.496,32.64288,-79.97019,0.568,,,-0.0857,-0.2003,1.404,0.725,1.207,0.003,,5/20/2016 14:05,15,21,Points,-32.652,-32.652,Survey,Survey,0.999715045,1.000005114,0.999720158,2,Bottom of antenna mount,Trimble,R8 GNSS/SPS88x Internal,936272.165,-5293755.717,3420658.025,0.556,,5/20/2016 14:05,
Folly Beach County Park,5/20/2016,folgrid052016-15,15,n,0,,596587.982,3612191.103,32.64311,-79.97019,0.537,,,-0.1181,-0.2328,1.391,0.724,1.196,0.003,,5/20/2016 14:08,15,21,Points,-32.682,-32.682,Survey,Survey,0.999715043,1.000005119,0.999720161,2,Bottom of antenna mount,Trimble,R8 GNSS/SPS88x Internal,936269.493,-5293742.131,3420679.58,0.556,,5/20/2016 14:08,
Folly Beach County Park,5/20/2016,folgrid052016-16,16,n,0,,596613.06,3612190.636,32.6431,-79.96992,0.6,,,-0.0549,-0.1696,1.358,0.722,1.171,0.002,,5/20/2016 14:13,15,20,Points,-32.621,-32.621,Survey,Survey,0.999715103,1.00000511,0.999720211,2,Bottom of antenna mount,Trimble,R8 GNSS/SPS88x Internal,936294.265,-5293738.191,3420679.015,0.556,,5/20/2016 14:14,
Folly Beach County Park,5/20/2016,folgrid052016-17,17,y,3,,596613.086,3612165.887,32.64288,-79.96993,0.582,,,-0.0713,-0.186,1.415,0.728,1.223,0.003,,5/20/2016 14:27,13,20,Points,-32.639,-32.639,Survey,Survey,0.999715103,1.000005112,0.999720214,2,Bottom of antenna mount,Trimble,R8 GNSS/SPS88x Internal,936296.377,-5293751.363,3420658.161,0.556,,5/20/2016 14:28,
Folly Beach County Park,5/20/2016,folgrid052016-18,18,y,11,,596612.661,3612141.306,32.64266,-79.96993,0.599,,,-0.0516,-0.1662,1.337,0.669,1.157,0.002,,5/20/2016 14:30,14,20,Points,-32.621,-32.621,Survey,Survey,0.999715102,1.00000511,0.99972021,2,Bottom of antenna mount,Trimble,R8 GNSS/SPS88x Internal,936298.035,-5293764.55,3420637.47,0.556,,5/20/2016 14:30,
Folly Beach County Park,5/20/2016,folgrid052016-19,19,n,0,,596612.903,3612116.197,32.64243,-79.96993,0.541,,,-0.1069,-0.2213,1.305,0.677,1.116,0.004,,5/20/2016 14:38,16,21,Points,-32.68,-32.68,Survey,Survey,0.999715103,1.000005119,0.99972022,2,Bottom of antenna mount,Trimble,R8 GNSS/SPS88x Internal,936300.385,-5293777.842,3420616.288,0.556,,5/20/2016 14:39,
Folly Beach County Park,5/20/2016,folgrid052016-2,2,y,8,Oysters ,596537.829,3612116.041,32.64243,-79.97073,0.383,,,-0.2672,-0.3817,1.588,0.774,1.387,0.004,,5/20/2016 13:03,13,20,Points,-32.835,-32.836,Survey,Survey,0.999714924,1.000005143,0.999720066,2,Bottom of antenna mount,Trimble,R8 GNSS/SPS88x Internal,936226.363,-5293790.487,3420616.687,0.555,,5/20/2016 13:04,
Folly Beach County Park,5/20/2016,folgrid052016-20,20,n,0,Fiddlers,596612.445,3612091.104,32.6422,-79.96994,0.539,,,-0.1061,-0.2204,1.305,0.675,1.118,0.003,,5/20/2016 14:40,16,21,Points,-32.682,-32.682,Survey,Survey,0.999715102,1.000005119,0.999720219,2,Bottom of antenna mount,Trimble,R8 GNSS/SPS88x Internal,936302.051,-5293791.291,3420595.157,0.556,,5/20/2016 14:41,
