Date / Time,Sonde height m,Noaa date,Noaa height
9/29/2016 20:00,1.43,9/29/2016 20:00,1.757
9/30/2016 8:30,1.42,9/30/2016 8:30,1.782
9/30/2016 21:00,1.49,9/30/2016 21:00,1.807
10/1/2016 9:30,1.62,10/1/2016 9:30,1.944
10/1/2016 21:30,1.52,10/1/2016 21:30,1.848
10/2/2016 10:00,1.61,10/2/2016 10:00,1.918
10/2/2016 22:00,1.5,10/2/2016 22:00,1.842
10/3/2016 10:30,1.64,10/3/2016 10:30,1.96
10/3/2016 22:30,1.52,10/3/2016 22:30,1.877
10/4/2016 11:00,1.73,10/4/2016 11:00,2.065
10/4/2016 23:30,1.6,10/4/2016 23:30,1.923
10/5/2016 12:00,1.74,10/5/2016 12:00,2.027
10/6/2016 0:30,1.52,10/6/2016 0:30,1.84
10/6/2016 13:00,1.81,10/6/2016 13:00,2.08
10/7/2016 1:00,1.57,10/7/2016 1:00,1.912
10/7/2016 13:30,1.91,10/7/2016 13:30,2.229
10/8/2016 2:00,2.32,10/8/2016 2:00,2.786
10/8/2016 15:00,1.15,10/8/2016 15:00,1.692
10/9/2016 2:30,1.06,10/9/2016 2:30,1.468
10/9/2016 15:00,1.5,10/9/2016 15:00,1.845
10/10/2016 3:30,1.45,10/10/2016 3:30,1.78
10/10/2016 16:00,1.83,10/10/2016 16:00,2.11
10/11/2016 4:30,1.74,10/11/2016 4:30,2.004
10/11/2016 17:00,1.83,10/11/2016 17:00,2.121
10/12/2016 5:30,1.75,10/12/2016 5:30,2.024
10/12/2016 18:00,1.93,10/12/2016 18:00,2.229
10/13/2016 6:30,1.74,10/13/2016 6:30,2.024
10/13/2016 19:00,1.87,10/13/2016 19:00,2.15
10/14/2016 7:00,1.79,10/14/2016 7:00,2.072
10/14/2016 20:00,1.97,10/14/2016 20:00,2.189
10/15/2016 8:30,2.05,10/15/2016 8:30,2.229
10/15/2016 21:00,2,10/15/2016 21:00,2.198
10/16/2016 9:00,2.11,10/16/2016 9:00,2.326
10/16/2016 21:30,1.9,10/16/2016 21:30,2.181
10/17/2016 10:00,2.09,10/17/2016 10:00,2.324
10/17/2016 22:00,1.85,10/17/2016 22:00,2.176
10/18/2016 10:30,2.07,10/18/2016 10:30,2.337
10/18/2016 23:00,1.71,10/18/2016 23:00,2.015
10/19/2016 11:30,1.99,10/19/2016 11:30,2.235
10/20/2016,1.57,10/20/2016 0:00,1.89
10/20/2016 12:30,1.87,10/20/2016 12:30,2.179
10/21/2016 1:00,1.51,10/21/2016 1:00,1.9
10/21/2016 13:30,1.73,10/21/2016 13:30,2.16
10/22/2016 2:00,1.19,10/22/2016 2:00,1.633
10/22/2016 14:30,1.66,10/22/2016 14:30,2.014
10/23/2016 3:00,1.45,10/23/2016 3:00,1.806
10/23/2016 15:30,1.72,10/23/2016 15:30,1.988
10/24/2016 4:00,1.49,10/24/2016 4:00,1.809
10/24/2016 16:30,1.52,10/24/2016 16:30,1.843
10/25/2016 5:30,1.49,10/25/2016 5:30,1.791
10/25/2016 17:30,1.71,10/25/2016 17:30,1.982
10/26/2016 6:00,1.66,10/26/2016 6:00,1.905
10/26/2016 18:30,1.61,10/26/2016 18:30,1.902
