Date / Time Sonde,Sonde_depth (m),Date/Time NOAA,NOAA Water Level Charleston Harbor (m)
7/13/2016 12:00,0.73,7/13/2016 12:00,0.899
7/13/2016 12:06,0.73,7/13/2016 12:06,0.929
7/13/2016 12:12,0.73,7/13/2016 12:12,0.959
7/13/2016 12:18,0.73,7/13/2016 12:18,0.988
7/13/2016 12:24,0.73,7/13/2016 12:24,1.016
7/13/2016 12:30,0.73,7/13/2016 12:30,1.048
7/13/2016 12:36,0.72,7/13/2016 12:36,1.084
7/13/2016 12:42,0.72,7/13/2016 12:42,1.117
7/13/2016 12:48,0.73,7/13/2016 12:48,1.151
7/13/2016 12:54,0.72,7/13/2016 12:54,1.189
7/13/2016 13:00,0.73,7/13/2016 13:00,1.221
7/13/2016 13:06,0.72,7/13/2016 13:06,1.251
7/13/2016 13:12,0.72,7/13/2016 13:12,1.28
7/13/2016 13:18,0.72,7/13/2016 13:18,1.308
7/13/2016 13:24,0.72,7/13/2016 13:24,1.336
7/13/2016 13:30,0.75,7/13/2016 13:30,1.361
7/13/2016 13:36,0.77,7/13/2016 13:36,1.386
7/13/2016 13:42,0.79,7/13/2016 13:42,1.411
7/13/2016 13:48,0.81,7/13/2016 13:48,1.443
7/13/2016 13:54,0.83,7/13/2016 13:54,1.471
7/13/2016 14:00,0.86,7/13/2016 14:00,1.49
7/13/2016 14:06,0.89,7/13/2016 14:06,1.503
7/13/2016 14:12,0.91,7/13/2016 14:12,1.519
7/13/2016 14:18,0.94,7/13/2016 14:18,1.536
7/13/2016 14:24,0.96,7/13/2016 14:24,1.554
7/13/2016 14:30,0.99,7/13/2016 14:30,1.571
7/13/2016 14:36,1.01,7/13/2016 14:36,1.586
7/13/2016 14:42,1.02,7/13/2016 14:42,1.597
7/13/2016 14:48,1.04,7/13/2016 14:48,1.61
7/13/2016 14:54,1.06,7/13/2016 14:54,1.621
7/13/2016 15:00,1.08,7/13/2016 15:00,1.636
7/13/2016 15:06,1.1,7/13/2016 15:06,1.656
7/13/2016 15:12,1.11,7/13/2016 15:12,1.673
7/13/2016 15:18,1.13,7/13/2016 15:18,1.692
7/13/2016 15:24,1.15,7/13/2016 15:24,1.702
7/13/2016 15:30,1.16,7/13/2016 15:30,1.71
7/13/2016 15:36,1.18,7/13/2016 15:36,1.717
7/13/2016 15:42,1.19,7/13/2016 15:42,1.72
7/13/2016 15:48,1.2,7/13/2016 15:48,1.724
7/13/2016 15:54,1.21,7/13/2016 15:54,1.722
