HOBO_ID,IN_time,OUT_time,Period,CharlestonHeight,MHW,Salinity,Notes,Day
hobo_1,20:51,1:24,4:33,1.69,-0.4104,23.05,site 1: 23.05 site 2:  16.47 site 3: 8.35,6/13/2017
hobo_1,21:51,1:39,3:48,1.6,-0.4104,23.05,add distance along ashley? (distance from charleston harbor gauge),6/15/2017
hobo_1,22:39,2:15,3:36,1.56,-0.4104,23.05,,6/16/2017
hobo_1,23:21,3:12,3:51,1.64,-0.4104,23.05,,6/17/2017
hobo_1,0:21,4:06,3:45,1.61,-0.4104,23.05,,6/18/2017
hobo_1,1:21,5:06,3:45,1.62,-0.4104,23.05,,6/19/2017
hobo_1,2:39,6:00,3:21,1.57,-0.4104,23.05,,6/20/2017
hobo_1,3:30,7:30,4:00,1.7,-0.4104,23.05,,6/21/2017
hobo_1,19:21,1:18,5:57,2.13,-0.4104,23.05,,6/25/2017
hobo_1,19:54,2:12,6:18,2.2,-0.4104,23.05,,6/26/2017
hobo_1,20:48,2:18,5:30,2.1,-0.4104,23.05,,6/27/2017
hobo_1,21:33,3:09,5:36,2.05,-0.4104,23.05,,6/29/2017
hobo_1,22:33,3:36,5:03,1.88,-0.4104,23.05,,6/30/2017
hobo_1,23:48,4:12,4:24,1.68,-0.4104,23.05,,6/30/2017
hobo_1,1:12,4:27,3:15,1.5,-0.4104,23.05,,7/2/2017
hobo_1,1:57,5:21,3:24,1.51,-0.4104,23.05,,7/3/2017
hobo_1,2:48,5:33,2:45,1.47,-0.4104,23.05,,7/4/2017
hobo_1,4:03,6:48,2:45,1.45,-0.4104,23.05,,7/5/2017
hobo_1,16:48,21:42,4:54,1.73,-0.4104,23.05,,7/7/2017
hobo_1,19:09,23:36,4:27,1.77,-0.4104,23.05,,7/10/2017
hobo_1,20:21,0:48,4:27,1.79,-0.4104,23.05,,7/12/2017
hobo_1,21:12,1:24,4:12,1.73,-0.4104,23.05,,7/13/2017
hobo_2,21:09,0:36,3:27,1.69,-0.3364,23.05,,6/13/2017
hobo_2,22:15,0:54,2:39,1.6,-0.3364,23.05,,6/15/2017
hobo_2,23:06,1:21,2:15,1.56,-0.3364,23.05,,6/16/2017
hobo_2,23:33,2:27,2:54,1.64,-0.3364,23.05,,6/17/2017
hobo_2,0:42,3:24,2:42,1.61,-0.3364,23.05,,6/18/2017
hobo_2,1:45,4:33,2:48,1.62,-0.3364,23.05,,6/19/2017
hobo_2,2:57,5:30,2:33,1.57,-0.3364,23.05,,6/20/2017
hobo_2,3:45,6:48,3:03,1.7,-0.3364,23.05,,6/21/2017
hobo_2,19:30,0:18,4:48,2.13,-0.3364,23.05,,6/25/2017
hobo_2,20:03,1:15,5:12,2.2,-0.3364,23.05,,6/26/2017
hobo_2,20:57,1:57,5:00,2.1,-0.3364,23.05,,6/27/2017
hobo_2,21:45,2:42,4:57,2.05,-0.3364,23.05,,6/29/2017
hobo_2,22:48,3:06,4:18,1.88,-0.3364,23.05,,6/30/2017
hobo_2,0:12,3:42,3:30,1.68,-0.3364,23.05,,7/1/2017
hobo_2,0:54,3:33,2:39,1.5,-0.3364,23.05,,7/2/2017
hobo_2,2:24,4:45,2:21,1.51,-0.3364,23.05,,7/3/2017
hobo_2,3:09,4:51,1:42,1.47,-0.3364,23.05,,7/4/2017
hobo_2,4:27,6:18,1:51,1.45,-0.3364,23.05,,7/5/2017
hobo_2,5:15,6:21,1:06,1.37,-0.3364,23.05,,7/6/2017
hobo_2,16:45,21:45,5:00,1.73,-0.3364,23.05,,7/7/2017
hobo_2,19:18,23:27,4:09,1.77,-0.3364,23.05,,7/10/2017
hobo_2,20:03,23:27,3:24,1.78,-0.3364,23.05,,7/11/2017
hobo_2,20:36,0:09,3:33,1.79,-0.3364,23.05,,7/12/2017
hobo_2,21:27,0:57,3:30,1.73,-0.3364,23.05,,7/13/2017
hobo_3,22:21,0:27,2:06,1.69,-0.099,23.05,,6/13/2017
hobo_3,23:42,0:45,1:03,1.6,-0.099,23.05,,6/15/2017
hobo_3,0:48,2:27,1:39,1.64,-0.099,23.05,,6/17/2017
hobo_3,2:09,3:42,1:33,1.61,-0.099,23.05,,6/18/2017
hobo_3,2:54,4:42,1:48,1.62,-0.099,23.05,,6/19/2017
hobo_3,4:09,5:27,1:18,1.57,-0.099,23.05,,6/20/2017
hobo_3,20:09,0:33,4:24,2.13,-0.099,23.05,,6/25/2017
hobo_3,20:45,1:48,5:03,2.2,-0.099,23.05,,6/26/2017
hobo_3,21:39,2:21,4:42,2.1,-0.099,23.05,,6/27/2017
hobo_3,22:30,3:00,4:30,2.05,-0.099,23.05,,6/29/2017
hobo_3,23:39,2:33,2:54,1.88,-0.099,23.05,,6/30/2017
hobo_3,20:12,23:09,2:57,1.77,-0.099,23.05,,7/10/2017
hobo_3,20:57,23:09,2:12,1.78,-0.099,23.05,,7/11/2017
hobo_3,21:33,23:57,2:24,1.79,-0.099,23.05,,7/12/2017
hobo_3,22:30,1:12,2:42,1.73,-0.099,23.05,,7/13/2017
hobo_4,23:24,0:15,0:51,1.69,0.0441,23.05,,6/13/2017
hobo_4,1:00,2:15,1:15,1.64,0.0441,23.05,,6/17/2017
hobo_4,20:27,0:06,3:39,2.13,0.0441,23.05,,6/25/2017
hobo_4,21:03,1:24,4:21,2.2,0.0441,23.05,,6/26/2017
hobo_4,22:00,1:51,3:51,2.1,0.0441,23.05,,6/27/2017
hobo_4,22:57,2:54,3:57,2.05,0.0441,23.05,,6/29/2017
hobo_4,0:09,3:21,3:12,1.88,0.0441,23.05,,6/30/2017
hobo_4,20:51,22:39,1:48,1.77,0.0441,23.05,,7/10/2017
hobo_4,21:30,23:21,1:51,1.78,0.0441,23.05,,7/11/2017
hobo_4,22:06,23:54,1:48,1.79,0.0441,23.05,,7/12/2017
hobo_4,23:27,0:30,1:03,1.73,0.0441,23.05,,7/13/2017
hobo_5,21:00,1:03,4:03,1.69,-0.4275,16.47,,6/13/2017
hobo_5,22:00,1:33,3:33,1.6,-0.4275,16.47,,6/15/2017
hobo_5,22:45,2:09,3:24,1.56,-0.4275,16.47,,6/16/2017
hobo_5,23:30,3:15,3:45,1.64,-0.4275,16.47,,6/17/2017
hobo_5,0:30,4:12,3:42,1.61,-0.4275,16.47,,6/18/2017
hobo_5,1:24,5:18,3:54,1.62,-0.4275,16.47,,6/19/2017
hobo_5,2:45,6:03,3:18,1.57,-0.4275,16.47,,6/20/2017
hobo_5,3:39,7:18,3:39,1.7,-0.4275,16.47,,6/21/2017
hobo_5,19:30,0:27,4:57,2.13,-0.4275,16.47,,6/25/2017
hobo_5,20:00,0:51,4:51,2.2,-0.4275,16.47,,6/26/2017
hobo_5,20:57,2:18,5:21,2.1,-0.4275,16.47,,6/27/2017
hobo_5,21:42,2:33,4:51,2.05,-0.4275,16.47,,6/29/2017
hobo_5,22:45,3:18,4:33,1.88,-0.4275,16.47,,6/30/2017
hobo_5,23:54,4:24,4:30,1.68,-0.4275,16.47,,6/30/2017
hobo_5,1:21,5:09,3:48,1.5,-0.4275,16.47,,7/2/2017
