Block,Treatment,Length,Bands,Notes,,,
5,Partial,75.5,2+,"9F, 5F, 4F, 6F, 3F EMPTY",,,
5,Partial,87.9,2+,,,,Empty
5,Partial,87.8,2+,,,,9f
5,Partial,87.7,2+,,,,5f
2,Full,73.4,2+,,,,4f
2,Full,95.6,2+,,,,6f
2,Full,90,2+,,,,3f
7,Full,94.2,2+,,,,
4,Control,62.9,2+,,,,
4,Control,85,2+,,,,
4,Control,85.4,2+,,,,
4,Control,82.5,2+,,,,
4,Control,95.2,2+,,,,
4,Control,89.3,2+,,,,
4,Control,109.8,2+,,,,
4,Control,97.7,2+,,,,
4,Control,80.1,2+,,,,
4,Control,100.2,2+,,,,
4,Control,78.9,2+,,,,
4,Control,96.4,2+,,,,
4,Control,95.9,2+,,,,
4,Control,103,2+,,,,
4,Control,114.5,2+,,,,
4,Control,101.4,2+,,,,
4,Control,98.5,2+,,,,
2,Partial,96.8,2+,,,,
2,Partial,86.4,2+,,,,
2,Partial,91.7,2+,,,,
2,Partial,84.6,2+,,,,
2,Partial,93.8,2+,,,,
9,Partial,74.6,2+,,,,
9,Partial,115.7,2+,,,,
4,Partial,84.1,2+,,,,
10,Control,13.8,0,,,,
10,Control,106.2,2+,,,,
10,Control,101.5,2+,,,,
10,Control,101.3,2+,,,,
10,Control,106.3,2+,,,,
10,Control,71.6,2+,,,,
10,Control,82.6,2+,,,,
10,Control,91,2+,,,,
10,Control,108.4,2+,,,,
10,Control,81.7,2+,,,,
10,Control,90.9,2+,,,,
10,Control,102.6,2+,,,,
10,Control,91.5,2+,,,,
10,Control,110.3,2+,,,,
10,Control,94.6,2+,,,,
10,Control,103.8,2+,,,,
10,Control,93.6,2+,,,,
10,Control,98.6,2+,,,,
7,Partial,89.2,2+,,,,
10,Full,99,2+,,,,
10,Full,45.4,2+,,,,
1,Full,81.4,2+,,,,
1,Full,91.9,2+,,,,
1,Full,83.6,2+,,,,
6,Control,5.8,0,,,,
6,Control,47.1,2+,,,,
6,Control,99.4,2+,,,,
6,Control,104,2+,,,,
6,Control,96.9,2+,,,,
6,Control,98.3,2+,,,,
6,Control,94.4,2+,,,,
6,Control,94.6,2+,,,,
6,Control,92.8,2+,,,,
6,Control,98.4,2+,,,,
6,Control,64.5,2+,,,,
6,Control,100.2,2+,,,,
6,Control,110.3,2+,,,,
6,Control,98.9,2+,,,,
6,Control,99.9,2+,,,,
6,Control,116.5,2+,,,,
6,Control,114.8,2+,,,,
6,Control,98.9,2+,,,,
6,Control,96.6,2+,,,,
6,Control,101.7,2+,,,,
6,Control,95.2,2+,,,,
6,Control,68,2+,,,,
6,Control,77.3,2+,,,,
6,Control,100.6,2+,,,,
6,Control,103.4,2+,,,,
6,Control,90,2+,,,,
6,Control,98.5,2+,,,,
6,Control,93.9,2+,,,,
6,Control,99,2+,,,,
6,Control,91.8,2+,,,,
6,Control,105.9,2+,,,,
6,Control,103.2,2+,,,,
6,Control,104.4,2+,,,,
6,Control,98.1,2+,,,,
6,Control,106.9,2+,,,,
6,Control,104.9,2+,,,,
6,Control,106.3,2+,,,,
6,Control,102.2,2+,,,,
6,Control,108.4,2+,,,,
6,Control,103.3,2+,,,,
6,Control,102,2+,,,,
6,Control,99.7,2+,,,,
6,Control,109.1,2+,,,,
8,Partial,70,2+,,,,
8,Partial,76.8,2+,,,,
8,Partial,96,2+,,,,
1,Partial,35.4,1,,,,
1,Partial,61.2,2+,,,,
1,Partial,107,2+,,,,
1,Partial,120,2+,,,,
1,Partial,83.1,2+,,,,
1,Partial,90.9,2+,,,,
1,Partial,95.8,2+,,,,
1,Partial,98.4,2+,,,,
7,Control,42.5,1,at 24.5 mm,,,
7,Control,12.5,0,,,,
7,Control,38.3,1,at 11 mm,,,
7,Control,26.8,0,,,,
7,Control,57.8,2+,,,,
7,Control,64,2+,,,,
7,Control,69.1,2+,,,,
7,Control,64.3,2+,,,,
7,Control,78.3,2+,,,,
7,Control,94.9,2+,,,,
7,Control,102.4,2+,,,,
7,Control,98.9,2+,,,,
7,Control,104.4,2+,,,,
7,Control,107.3,2+,,,,
7,Control,112.1,2+,,,,
7,Control,107.8,2+,,,,
7,Control,116.3,2+,,,,
7,Control,104.9,2+,,,,
7,Control,104.7,2+,,,,
7,Control,81,2+,,,,
7,Control,76.9,2+,,,,
7,Control,86.5,2+,,,,
1,Control,25.1,1,at 7 mm,,,
1,Control,41.1,2+,,,,
1,Control,99,2+,,,,
1,Control,101.6,2+,,,,
1,Control,108.4,2+,,,,
1,Control,102.5,2+,,,,
1,Control,103.9,2+,,,,
1,Control,97.1,2+,,,,
1,Control,97.3,2+,,,,
1,Control,95.7,2+,,,,
1,Control,101.4,2+,,,,
1,Control,93.8,2+,,,,
1,Control,90,2+,,,,
1,Control,101.8,2+,,,,
1,Control,105.8,2+,,,,
1,Control,86.2,2+,,,,
1,Control,93.8,2+,,,,
1,Control,89.9,2+,,,,
1,Control,87.4,2+,,,,
1,Control,106.8,2+,,,,
1,Control,85.4,2+,,,,
6,Partial,54.2,1,,,,
6,Partial,57.1,2+,,,,
6,Partial,79,2+,,,,
6,Partial,73.4,2+,,,,
6,Partial,103.8,2+,,,,
6,Partial,84.3,2+,,,,
6,Partial,106.1,2+,,,,
6,Partial,99.4,2+,,,,
6,Partial,97.2,2+,,,,
6,Partial,76.9,2+,,,,
6,Partial,106.5,2+,,,,
6,Partial,106.6,2+,,,,
6,Partial,91.3,2+,,,,
6,Partial,92,2+,,,,
6,Partial,90.4,2+,,,,
3,Control,37,1,,,,
3,Control,12.7,0,,,,
3,Control,14.8,0,,,,
3,Control,13,0,,,,
3,Control,55.6,2+,,,,
3,Control,67.9,2+,,,,
3,Control,67.1,2+,,,,
3,Control,95.4,2+,,,,
3,Control,88.8,2+,,,,
3,Control,98,2+,,,,
3,Control,58.5,2+,,,,
3,Control,84.1,2+,,,,
3,Control,78.6,2+,,,,
3,Control,76.3,2+,,,,
3,Control,87.7,2+,,,,
3,Control,91,2+,,,,
3,Control,97,2+,,,,
3,Control,82.7,2+,,,,
3,Control,95.4,2+,,,,
3,Control,74.8,2+,,,,
3,Control,84.1,2+,,,,
3,Control,86.7,2+,,,,
3,Control,81.5,2+,,,,
3,Control,84.9,2+,,,,
3,Control,93.4,2+,,,,
3,Control,81.8,2+,,,,
3,Control,83.6,2+,,,,
3,Control,94.6,2+,,,,
3,Control,104.4,2+,,,,
3,Control,90.9,2+,,,,
3,Control,72.7,2+,,,,
3,Control,84.7,2+,,,,
3,Control,76.2,2+,,,,
3,Control,84.8,2+,,,,
3,Control,86.9,2+,,,,
3,Control,87.4,2+,,,,
3,Control,92.1,2+,,,,
3,Control,102.8,2+,,,,
3,Control,86.7,2+,,,,
3,Control,85.1,2+,,,,
3,Control,87,2+,,,,
3,Control,91.7,2+,,,,
3,Control,94.5,2+,,,,
3,Control,92.5,2+,,,,
3,Control,109.7,2+,,,,
3,Control,95.5,2+,,,,
3,Control,92.8,2+,,,,
3,Control,105.2,2+,,,,
3,Control,109,2+,,,,
3,Control,94.3,2+,,,,
3,Control,92.3,2+,,,,
3,Control,87.3,2+,,,,
8,Full,107.7,2+,,,,
8,Full,12.6,0,Attached to big one,,,
3,Partial,45.8,1,,,,
3,Partial,83.5,2+,,,,
3,Partial,87.1,2+,,,,
3,Partial,81.3,2+,,,,
10,Partial,92,2+,,,,
10,Partial,84.3,2+,,,,
10,Partial,87.5,2+,,,,
10,Partial,114.2,2+,,,,
10,Partial,95.7,2+,,,,
9,Control,12.1,0,,,,
9,Control,100.9,2+,,,,
9,Control,101.5,2+,,,,
9,Control,100,2+,,,,
5,Control,45.5,1,,,,
5,Control,17.5,0,,,,
5,Control,38.6,1,,,,
5,Control,32.8,0,,,,
5,Control,9.4,0,,,,
5,Control,108.5,2+,,,,
5,Control,104.2,2+,,,,
5,Control,92.8,2+,,,,
5,Control,101.7,2+,,,,
5,Control,90.4,2+,,,,
5,Control,92.5,2+,,,,
5,Control,95,2+,,,,
5,Control,99.2,2+,,,,
5,Control,92.5,2+,,,,
5,Control,96.8,2+,,,,
5,Control,94.6,2+,,,,
5,Control,88.7,2+,,,,
5,Control,93.7,2+,,,,
5,Control,91.3,2+,,,,
5,Control,92,2+,,,,
5,Control,88,2+,,,,
5,Control,90.1,2+,,,,
5,Control,82.8,2+,,,,
5,Control,98.6,2+,,,,
5,Control,78.2,2+,,,,
5,Control,102.2,2+,,,,
5,Control,89.3,2+,,,,
5,Control,102.5,2+,,,,
5,Control,96.2,2+,,,,
2,Control,41.7,1,,,,
2,Control,39,1,,,,
2,Control,50.9,2+,,,,
2,Control,94.5,2+,,,,
