Block,Treatment,Length,Flowering
3,Control,707,1
3,Control,851,1
3,Control,249,0
3,Control,888,1
3,Control,245,0
3,Control,908,1
3,Control,288,0
3,Control,605,1
3,Control,191,0
3,Control,586,0
3,Control,512,0
3,Control,681,1
3,Control,446,0
3,Control,511,0
3,Control,570,0
3,Control,616,0
3,Control,620,0
3,Control,174,0
3,Control,173,0
3,Control,549,0
3,Control,228,0
3,Control,464,0
3,Control,151,0
3,Control,116,0
3,Control,100,0
3,Control,54,0
3,Control,71,0
3,Full,584,0
3,Full,118,0
3,Full,604,0
3,Full,242,0
3,Full,633,0
3,Full,178,0
3,Full,164,0
3,Full,364,0
3,Full,271,0
3,Full,470,0
3,Full,587,0
3,Full,115,0
3,Full,643,0
3,Full,339,0
3,Full,593,0
3,Full,485,0
3,Full,280,0
3,Full,441,0
3,Full,310,0
3,Full,78,0
3,Full,135,0
1,Full,687,0
1,Full,955,0
1,Full,543,0
1,Full,460,0
1,Full,703,0
1,Full,542,0
1,Full,185,0
1,Full,545,0
1,Full,338,0
1,Full,427,0
1,Full,200,0
1,Full,241,0
1,Full,136,0
1,Full,233,0
1,Full,68,0
1,Full,101,0
1,Full,79,0
2,Full,158,0
2,Full,524,0
2,Full,721,1
2,Full,225,0
2,Full,258,0
2,Full,251,0
2,Full,915,1
2,Full,859,1
2,Full,415,0
2,Full,136,0
2,Full,269,0
2,Full,90,0
2,Full,92,0
2,Full,131,0
2,Full,144,0
2,Full,215,0
2,Full,262,0
2,Full,144,0
2,Full,389,0
2,Full,362,0
2,Full,148,0
2,Full,158,0
2,Full,105,0
2,Partial,633,1
2,Partial,758,1
2,Partial,932,1
2,Partial,435,0
2,Partial,621,0
2,Partial,540,1
2,Partial,370,0
2,Partial,702,1
2,Partial,410,0
2,Partial,435,0
2,Partial,498,0
2,Partial,506,0
2,Partial,315,0
2,Partial,119,0
2,Partial,119,0
2,Partial,142,0
2,Partial,145,0
1,Partial,665,1
1,Partial,800,1
1,Partial,818,1
1,Partial,668,0
1,Partial,675,0
1,Partial,222,0
1,Partial,630,0
1,Partial,356,0
1,Partial,474,0
1,Partial,273,0
1,Partial,176,0
1,Partial,157,0
1,Partial,90,0
1,Partial,69,0
1,Partial,118,0
1,Partial,89,0
1,Partial,80,0
1,Partial,285,0
1,Partial,258,0
1,Control,1031,1
1,Control,810,1
1,Control,1143,1
1,Control,708,1
1,Control,150,0
1,Control,814,1
1,Control,439,1
1,Control,579,0
1,Control,388,0
1,Control,222,0
1,Control,157,0
1,Control,124,0
1,Control,77,0
4,Full,674,0
4,Full,830,1
4,Full,916,1
4,Full,571,0
4,Full,425,0
4,Full,170,0
4,Full,586,0
4,Full,520,0
4,Full,592,0
4,Full,150,0
4,Full,234,0
4,Full,496,0
4,Full,133,0
4,Full,108,0
4,Full,87,0
4,Full,128,0
3,Partial,642,0
3,Partial,660,0
3,Partial,640,0
3,Partial,345,0
3,Partial,590,0
3,Partial,586,0
3,Partial,164,0
3,Partial,358,0
3,Partial,168,0
3,Partial,214,0
3,Partial,485,0
3,Partial,442,0
3,Partial,313,0
3,Partial,207,0
3,Partial,228,0
3,Partial,245,0
3,Partial,235,0
3,Partial,216,0
3,Partial,308,0
3,Partial,444,0
3,Partial,201,0
3,Partial,88,0
3,Partial,76,0
3,Partial,95,0
3,Partial,108,0
3,Partial,110,0
3,Partial,57,0
3,Partial,280,0
2,Control,688,1
2,Control,645,1
2,Control,203,0
2,Control,570,0
2,Control,510,0
2,Control,525,0
2,Control,594,0
2,Control,159,0
2,Control,321,0
2,Control,505,0
2,Control,501,0
2,Control,459,0
2,Control,434,0
2,Control,568,0
2,Control,118,0
2,Control,120,0
2,Control,107,0
2,Control,500,0
2,Control,339,0
2,Control,93,0
2,Control,445,0
2,Control,81,0
2,Control,136,0
2,Control,497,0
2,Control,201,0
2,Control,58,0
4,Control,567,0
4,Control,313,0
4,Control,772,0
4,Control,780,1
4,Control,240,0
4,Control,977,1
4,Control,654,0
4,Control,655,0
4,Control,76,0
4,Control,620,0
4,Control,740,0
4,Control,733,0
4,Control,143,0
4,Control,529,0
4,Control,591,0
4,Control,664,0
4,Control,767,1
4,Control,623,0
4,Control,280,0
4,Control,170,0
4,Control,563,0
4,Control,675,0
4,Control,158,0
4,Control,184,0
4,Control,498,0
4,Control,113,0
4,Control,169,0
4,Control,310,0
4,Partial,920,1
4,Partial,831,0
4,Partial,617,0
4,Partial,130,0
4,Partial,255,0
4,Partial,380,0
4,Partial,314,0
4,Partial,257,0
4,Partial,100,0
4,Partial,62,0
4,Partial,67,0
4,Partial,540,0
4,Partial,231,0
4,Partial,155,0
4,Partial,211,0
4,Partial,475,0
4,Partial,638,0
4,Partial,257,0
5,Control,651,0
5,Control,1078,1
5,Control,593,0
5,Control,965,1
5,Control,710,0
5,Control,844,1
5,Control,330,0
5,Control,661,0
5,Control,482,0
5,Control,310,0
5,Control,169,0
5,Control,741,0
5,Control,742,0
5,Control,640,0
5,Control,218,0
5,Control,673,0
5,Control,179,0
5,Control,211,0
5,Control,131,0
5,Control,214,0
5,Control,130,0
5,Control,212,0
5,Control,180,0
5,Control,377,0
5,Control,110,0
5,Control,515,0
5,Control,407,0
5,Control,158,0
5,Control,148,0
5,Control,213,0
5,Control,57,0
5,Control,47,0
5,Full,625,0
5,Full,501,0
5,Full,550,0
5,Full,418,0
5,Full,146,0
5,Full,555,0
5,Full,134,0
5,Full,404,0
5,Full,71,0
5,Full,228,0
5,Full,145,0
5,Full,75,0
5,Full,494,0
5,Full,105,0
5,Full,81,0
6,Control,885,1
6,Control,723,1
6,Control,1024,1
6,Control,1037,1
6,Control,663,0
6,Control,572,1
6,Control,626,0
6,Control,666,0
6,Control,448,0
6,Control,678,0
6,Control,568,0
6,Control,753,0
6,Control,673,0
6,Control,160,0
6,Control,457,0
6,Control,121,0
6,Control,244,0
6,Control,187,0
6,Control,188,0
6,Control,421,0
6,Control,204,0
6,Control,136,0
