DATE,Month,Set/Pull,Site #,S/C,Time,Depth (ft),B.DO,B. Cond,YSI.B. Sal (ppt),B. Temp (C),T. DO,T.Cond,YSI.T. Sal (ppt),T. Temp (C),Latitude, Longitude,COMMENTS,,,
5/14/2015,May,Set,1,S,13:20,19.7,3.74,0.216,0.1,25,3.56,0.273,0.1,25,32.90112,-80.11795,"**YSI.B is the Bottom Salinity measurement, while YSI.T is the top salinity. For the purpose of my study, due to the benthic nature of crabs, only the bottom salinity was analysed and averaged (between sites). ",,,
5/14/2015,May,Set,1,C,13:24,17.9,3.53,0.27,0.1,24.8,3.61,0.266,0.1,25,32.90101,-80.11826,,,,
5/15/2015,May,Pull,1,S,12:33,24.6,3.45,0.365,0.2,24.4,3.32,0.364,0.2,24.5,,,,,,
5/15/2015,May,Pull,1,C,12:33,22.8,3.41,0.369,0.2,24.4,3.35,0.364,0.2,24.5,,,,,,
5/26/2015,May,Set,1,S,11:26,6,3.72,0.969,0.5,26.2,3.85,0.985,0.5,26.2,32.90109,-80.118,,,,
5/26/2015,May,Set,1,C,11:32,15.9,3.71,0.995,0.5,25.8,3.7,0.997,0.5,25.8,32.90091,-80.11823,,,,
5/27/2015,May,Pull,1,S,11:16,4.9,3.69,0.904,0.4,26.8,3.93,0.908,0.4,27.4,,,,,,
5/27/2015,May,Pull,1,C,11:20,11.5,3.73,0.938,0.5,26.8,3.87,0.899,0.4,27.1,,,,,,
6/8/2015,June,Set,1,S ,10:27,7.2,4.6,0.745,0.4,26.5,3.9,0.793,0.4,26.5,32.90112,-80.118,**S/C = Shoreline or Channel meaurements,,,
6/8/2015,June,Set,1,C,10:31,18.3,4,0.849,0.4,26.4,4.2,0.846,0.4,26.4,32.90121,-80.11839,,,,
6/9/2015,June,Pull,1,C,11:39,18.5,5,0.832,0.4,27.2,4.6,0.834,0.4,27.2,32.90121,-80.11839,,,,
6/9/2015,June,Pull,1,S,10:46,16.1,5.1,0.848,0.4,27.2,4.5,0.829,0.4,27.3,32.90112,-80.118,,,,
6/22/2015,June,Set,1,S,10:49,9.4,3.6,1.214,0.6,31.8,3.2,1.199,0.6,31.8,32.90117,-80.11799,,,,
6/22/2015,June,Set,1,C,10:53,23.7,3.5,1.301,0.7,31.7,3.3,1.298,0.7,31.8,32.90112,-80.11833,,,,
6/23/2015,June,Pull,1,C,11:02,23.7,4.3,0.778,0.4,31.3,4.1,0.772,0.4,31.3,32.90126,-80.1181,,,,
6/23/2015,June,Pull,1,S,11:05,10.6,4.2,0.76,0.4,31.3,4.3,0.762,0.4,31.3,32.9012,-80.11809,,,,
