Status,Quadrat ID,Location,Date,Length mm,Growth bands ,Shell erosion mm,Notes
Unharvested,1,St. Pierre Creek,2/6/2017,95.1,9,,
Unharvested,1,St. Pierre Creek,2/6/2017,89.3,7,,
Unharvested,1,St. Pierre Creek,2/6/2017,87.8,6,22.5,
Unharvested,1,St. Pierre Creek,2/6/2017,84.1,4,,
Unharvested,1,St. Pierre Creek,2/6/2017,89.8,4,,Last and first bands hard to see
Unharvested,1,St. Pierre Creek,2/6/2017,82.7,3,,
Unharvested,1,St. Pierre Creek,2/6/2017,70.3,2,,
Unharvested,1,St. Pierre Creek,2/6/2017,38,1,,
Unharvested,1,St. Pierre Creek,2/6/2017,43.8,1,,
Unharvested,1,St. Pierre Creek,2/6/2017,16.2,0,,
Unharvested,1,St. Pierre Creek,2/6/2017,22.7,,,
Unharvested,1,St. Pierre Creek,2/6/2017,35,,,
Unharvested,1,St. Pierre Creek,2/6/2017,39.5,,,
Unharvested,1,St. Pierre Creek,2/6/2017,41.3,,,
Unharvested,1,St. Pierre Creek,2/6/2017,50.2,,,
Unharvested,1,St. Pierre Creek,2/6/2017,71.6,,,
Unharvested,1,St. Pierre Creek,2/6/2017,74.2,,,
Unharvested,1,St. Pierre Creek,2/6/2017,76.3,,,
Unharvested,1,St. Pierre Creek,2/6/2017,76.7,,,
Unharvested,1,St. Pierre Creek,2/6/2017,78,,,
Unharvested,1,St. Pierre Creek,2/6/2017,79.6,,,
Unharvested,1,St. Pierre Creek,2/6/2017,80.7,,,
Unharvested,1,St. Pierre Creek,2/6/2017,83.1,,,
Unharvested,1,St. Pierre Creek,2/6/2017,83.8,,,
Unharvested,1,St. Pierre Creek,2/6/2017,84.5,,,
Unharvested,1,St. Pierre Creek,2/6/2017,84.6,,,
Unharvested,1,St. Pierre Creek,2/6/2017,85.1,,,
Unharvested,1,St. Pierre Creek,2/6/2017,86.3,,,
Unharvested,1,St. Pierre Creek,2/6/2017,86.3,,,
Unharvested,1,St. Pierre Creek,2/6/2017,86.4,,,
Unharvested,1,St. Pierre Creek,2/6/2017,86.5,,,
Unharvested,1,St. Pierre Creek,2/6/2017,86.8,,,
Unharvested,1,St. Pierre Creek,2/6/2017,87.5,,,
Unharvested,1,St. Pierre Creek,2/6/2017,90.3,,,
Unharvested,1,St. Pierre Creek,2/6/2017,90.6,,,
Unharvested,1,St. Pierre Creek,2/6/2017,91.7,,,
Unharvested,1,St. Pierre Creek,2/6/2017,92.2,,,
Unharvested,1,St. Pierre Creek,2/6/2017,95.8,,,
Unharvested,1,St. Pierre Creek,2/6/2017,95.9,,,
Unharvested,1,St. Pierre Creek,2/6/2017,96.1,,,
Unharvested,2,St. Pierre Creek,2/6/2017,85.9,12,24,
Unharvested,2,St. Pierre Creek,2/6/2017,87.3,9,,
Unharvested,2,St. Pierre Creek,2/6/2017,92.6,9,,
Unharvested,2,St. Pierre Creek,2/6/2017,89.2,8,12,
Unharvested,2,St. Pierre Creek,2/6/2017,92.2,7,,
Unharvested,2,St. Pierre Creek,2/6/2017,96.4,7,,
Unharvested,2,St. Pierre Creek,2/6/2017,73.9,3,,
Unharvested,2,St. Pierre Creek,2/6/2017,62.5,2,,
Unharvested,2,St. Pierre Creek,2/6/2017,66.5,2,,
Unharvested,2,St. Pierre Creek,2/6/2017,77,2,,
Unharvested,2,St. Pierre Creek,2/6/2017,92.7,,,
Unharvested,2,St. Pierre Creek,2/6/2017,95.8,,,
Unharvested,2,St. Pierre Creek,2/6/2017,96.7,,,
Unharvested,2,St. Pierre Creek,2/6/2017,99.2,,,
Unharvested,3,St. Pierre Creek,2/6/2017,114.6,13,23.5,
Unharvested,3,St. Pierre Creek,2/6/2017,84.5,11,15,Difficult
Unharvested,3,St. Pierre Creek,2/6/2017,92.4,11,29.5,
Unharvested,3,St. Pierre Creek,2/6/2017,100.1,10,,
Unharvested,3,St. Pierre Creek,2/6/2017,93.9,9,21,Difficult
Unharvested,3,St. Pierre Creek,2/6/2017,96.5,9,29.5,Difficult
Unharvested,3,St. Pierre Creek,2/6/2017,93.5,6,,
Unharvested,3,St. Pierre Creek,2/6/2017,95.4,6,,
Unharvested,3,St. Pierre Creek,2/6/2017,29.6,1,,
Unharvested,3,St. Pierre Creek,2/6/2017,17.2,0,,
Unharvested,3,St. Pierre Creek,2/6/2017,28.2,,,
Unharvested,3,St. Pierre Creek,2/6/2017,58,,,
Unharvested,3,St. Pierre Creek,2/6/2017,83.2,,,
Unharvested,3,St. Pierre Creek,2/6/2017,86.4,,,
Unharvested,3,St. Pierre Creek,2/6/2017,88,,,
Unharvested,3,St. Pierre Creek,2/6/2017,89.8,,,
Unharvested,3,St. Pierre Creek,2/6/2017,91,,,
Unharvested,3,St. Pierre Creek,2/6/2017,93.4,,,
Unharvested,3,St. Pierre Creek,2/6/2017,94.3,,,
Unharvested,3,St. Pierre Creek,2/6/2017,98.4,,,
Unharvested,3,St. Pierre Creek,2/6/2017,99.5,,,
Unharvested,3,St. Pierre Creek,2/6/2017,100.7,,,
Unharvested,4,St. Pierre Creek,2/6/2017,99.3,11,25.5,Difficult
Unharvested,4,St. Pierre Creek,2/6/2017,91,10,18,Difficult
Unharvested,4,St. Pierre Creek,2/6/2017,94.7,10,21,Difficult
Unharvested,4,St. Pierre Creek,2/6/2017,89.4,9,19,Difficult
Unharvested,4,St. Pierre Creek,2/6/2017,82.2,6,,
Unharvested,4,St. Pierre Creek,2/6/2017,85.5,5,,
Unharvested,4,St. Pierre Creek,2/6/2017,93.6,5,,
Unharvested,4,St. Pierre Creek,2/6/2017,81.7,4,,
Unharvested,4,St. Pierre Creek,2/6/2017,45.5,1,,
Unharvested,4,St. Pierre Creek,2/6/2017,42.3,,,
Unharvested,4,St. Pierre Creek,2/6/2017,46.1,,,
Unharvested,4,St. Pierre Creek,2/6/2017,54.2,,,
Unharvested,4,St. Pierre Creek,2/6/2017,77,,,
Unharvested,4,St. Pierre Creek,2/6/2017,78.6,,,
Unharvested,4,St. Pierre Creek,2/6/2017,80,,,
Unharvested,4,St. Pierre Creek,2/6/2017,80.3,,,
Unharvested,4,St. Pierre Creek,2/6/2017,82.1,,,
Unharvested,4,St. Pierre Creek,2/6/2017,82.9,,,
Unharvested,4,St. Pierre Creek,2/6/2017,83.9,,,
Unharvested,4,St. Pierre Creek,2/6/2017,84.7,,,
Unharvested,4,St. Pierre Creek,2/6/2017,85.4,,,
Unharvested,4,St. Pierre Creek,2/6/2017,85.5,,,
Unharvested,4,St. Pierre Creek,2/6/2017,85.6,,,
Unharvested,4,St. Pierre Creek,2/6/2017,85.7,,,
