Location,Date collected,Month.code,Time collected (h),Quadrat identifier,Length mm,Growth bands,Shell erosion (mm),Notes
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8a,16.2,1,,Dark spot
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8a,16.3,1,,Dark spot
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8a,24.8,1,,Dark spot
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8a,58.4,2,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8a,41.6,1,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8a,57.1,2,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8a,82.1,2,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8a,89.3,4,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8a,78.1,3,,Right valve
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8a,97.5,7,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8a,102,12,,"Eroded, bunched lines toward end"
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8a,105,14,44.5,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8a,93.4,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8a,89.8,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8a,89.2,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8a,62.7,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8a,84.6,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8a,60.7,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8a,86.5,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,9.1,0,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,8.6,0,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,17,0,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,26.7,0,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,53.8,2,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,57.8,2,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,80.3,3,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,79.2,4,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,93.7,10,36.5,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,101.2,10,40.5,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,104.5,9,28,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,102.3,11,38,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,4.3,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,91.4,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,92.4,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,73.9,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,100.5,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,85.6,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,97.7,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,104,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,92.6,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,88.6,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,96.3,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,99,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,77.2,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,93.1,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,87.7,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,84.4,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,92.3,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,101.6,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,90.6,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,91.1,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,85,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,91.3,,,
Folly Beach County Park (side B),8/11/2016,August,9-11:00,8b,89.6,,,
